accuracy,loss,val_accuracy,val_loss,learning_rate
0.9948989152908325,0.016204308718442917,0.997650146484375,0.0080600306391716,0.0010000000474974513
0.9972943663597107,0.008979336358606815,0.9978393912315369,0.007678480818867683,0.0010000000474974513
0.9975116848945618,0.008313019759953022,0.9978393912315369,0.007641427218914032,0.0010000000474974513
0.9976097941398621,0.008008047007024288,0.9979340434074402,0.006985252723097801,0.0010000000474974513
0.9976658821105957,0.007774375379085541,0.9978078603744507,0.007447682321071625,0.0010000000474974513
0.9976781606674194,0.007722178474068642,0.9979340434074402,0.00674473075196147,0.0010000000474974513
0.9977359771728516,0.007638375274837017,0.9978551864624023,0.007010470610111952,0.0010000000474974513
0.9977850317955017,0.007641332224011421,0.9978393912315369,0.006966674234718084,0.0010000000474974513
0.997751772403717,0.007552956230938435,0.9979497790336609,0.006778736133128405,0.0010000000474974513
0.9977272152900696,0.0075888740830123425,0.9978235960006714,0.007026773411780596,0.0005000000237487257
0.9977201819419861,0.007552871480584145,0.9978551864624023,0.006971313618123531,0.0005000000237487257
