accuracy,loss,val_accuracy,val_loss,learning_rate
0.9957813024520874,0.014061891473829746,0.9980796575546265,0.005988826975226402,0.0010000000474974513
0.9975669980049133,0.007777862250804901,0.9979121088981628,0.006080527324229479,0.0010000000474974513
0.9976257085800171,0.00750393234193325,0.9979507923126221,0.0060815345495939255,0.0010000000474974513
0.997654378414154,0.007355320267379284,0.9980539083480835,0.0062394957058131695,0.0010000000474974513
0.9977374076843262,0.007117100991308689,0.9979507923126221,0.005812962539494038,0.0005000000237487257
0.9977273941040039,0.007086331024765968,0.9981054663658142,0.006152864079922438,0.0005000000237487257
0.9977660775184631,0.007063050288707018,0.998041033744812,0.005792039912194014,0.0005000000237487257
0.9977989792823792,0.006864266935735941,0.998066782951355,0.00593601493164897,0.0005000000237487257
0.9977975487709045,0.006872702855616808,0.9979507923126221,0.006042527034878731,0.0002500000118743628
0.9978290796279907,0.006894614081829786,0.998041033744812,0.006143290549516678,0.0002500000118743628
0.9977632164955139,0.006929378025233746,0.9978863596916199,0.005950817838311195,0.0002500000118743628
0.9977918267250061,0.0068483976647257805,0.9980152249336243,0.006002127192914486,0.0001250000059371814
