accuracy,loss,val_accuracy,val_loss,learning_rate
0.9942694306373596,0.01940750516951084,0.9986081719398499,0.005995722021907568,0.0010000000474974513
0.9984337687492371,0.007820193655788898,0.9984562993049622,0.006448147818446159,0.0010000000474974513
0.9984843730926514,0.007597759831696749,0.9984816312789917,0.00610306253656745,0.0010000000474974513
0.9984309673309326,0.007397517561912537,0.9984562993049622,0.005930748302489519,0.0010000000474974513
0.9984000325202942,0.007070811931043863,0.9984562993049622,0.006217955611646175,0.0005000000237487257
0.9984169006347656,0.007037500385195017,0.9984562993049622,0.005949741695076227,0.0005000000237487257
0.9984872341156006,0.006921980530023575,0.9984562993049622,0.006010076031088829,0.0005000000237487257
0.9984422326087952,0.006890944205224514,0.9984562993049622,0.005765915382653475,0.0002500000118743628
0.9984309673309326,0.0070621962659060955,0.9984562993049622,0.005864323582500219,0.0002500000118743628
0.9984394311904907,0.006864582654088736,0.9984562993049622,0.005636223126202822,0.0002500000118743628
0.9984112977981567,0.006943159271031618,0.9984562993049622,0.006123374216258526,0.0002500000118743628
0.9984197020530701,0.006907776929438114,0.9984562993049622,0.005781102925539017,0.0002500000118743628
0.9984872341156006,0.006703804712742567,0.9984562993049622,0.005821750499308109,0.0002500000118743628
0.9984056949615479,0.006821037270128727,0.9984562993049622,0.005638256203383207,0.0001250000059371814
0.9984056949615479,0.006861021742224693,0.9984562993049622,0.0057532270438969135,0.0001250000059371814
