accuracy,loss,val_accuracy,val_loss,learning_rate
0.9971075057983398,0.017077770084142685,0.9985788464546204,0.00572564359754324,0.0010000000474974513
0.9984257221221924,0.008399896323680878,0.9986649751663208,0.004634853918105364,0.0010000000474974513
0.9985142946243286,0.008109752088785172,0.998600423336029,0.005426309071481228,0.0010000000474974513
0.9985716938972473,0.007564618717879057,0.9985788464546204,0.006086011417210102,0.0010000000474974513
0.9985884428024292,0.007215271238237619,0.9987295866012573,0.004778141155838966,0.0010000000474974513
0.9986147284507751,0.0070399027317762375,0.9986865520477295,0.004595139529556036,0.0005000000237487257
0.9985788464546204,0.006756954826414585,0.9986865520477295,0.004467334132641554,0.0005000000237487257
0.9984999299049377,0.006824460346251726,0.9987511038780212,0.0055645848624408245,0.0005000000237487257
0.9985693097114563,0.006845349911600351,0.9987080693244934,0.004503201227635145,0.0005000000237487257
0.9986028075218201,0.006727045401930809,0.9986865520477295,0.004524667747318745,0.0005000000237487257
0.9986099600791931,0.00676316674798727,0.9987726807594299,0.0052918861620128155,0.0002500000118743628
0.998624324798584,0.006491482257843018,0.9986865520477295,0.0044812471605837345,0.0002500000118743628
