epoch,loss,val_loss
0,8.328896522521973,7.712531089782715
1,8.181321144104004,7.710665702819824
2,8.167603492736816,7.686031341552734
3,8.150907516479492,7.662982940673828
4,8.136159896850586,7.6456708908081055
5,8.096275329589844,7.607171535491943
6,8.079663276672363,7.611513137817383
7,8.07455825805664,7.594688415527344
8,8.067070007324219,7.580230236053467
9,8.06120777130127,7.582038879394531
10,8.056538581848145,7.578970432281494
11,8.053061485290527,7.57352352142334
12,8.049158096313477,7.571431636810303
13,8.049103736877441,7.571875095367432
14,8.04676342010498,7.566572666168213
15,8.044389724731445,7.572810649871826
16,8.048406600952148,7.579641342163086
17,8.043121337890625,7.572941303253174
18,8.04457950592041,7.564654350280762
19,8.039179801940918,7.568077087402344
20,8.042372703552246,7.56730842590332
21,8.040528297424316,7.572995185852051
22,8.040971755981445,7.567009925842285
23,8.043150901794434,7.576841831207275
24,8.04541015625,7.567976474761963
25,8.04211711883545,7.565958499908447
26,8.03874683380127,7.562957286834717
27,8.044415473937988,7.566435813903809
28,8.03982925415039,7.564904689788818
29,8.04185676574707,7.565185546875
