epoch,loss,val_loss
0,7.641500473022461,7.980543613433838
1,7.412999629974365,7.768357753753662
2,7.298219680786133,7.737039089202881
3,7.278223037719727,7.733322620391846
4,7.269681453704834,7.726189136505127
5,7.264224529266357,7.718204021453857
6,7.258687973022461,7.71436071395874
7,7.256464958190918,7.729114532470703
8,7.253162384033203,7.715104579925537
9,7.25017786026001,7.709918975830078
10,7.250122547149658,7.708813190460205
11,7.248918533325195,7.704719543457031
12,7.247645854949951,7.704158782958984
13,7.245079517364502,7.708889007568359
14,7.248476982116699,7.709709644317627
15,7.248409271240234,7.705102920532227
16,7.247067451477051,7.712252616882324
17,7.244580268859863,7.70919942855835
18,7.2443366050720215,7.70259952545166
19,7.24631404876709,7.707694053649902
20,7.245049476623535,7.7015814781188965
21,7.241382122039795,7.702672004699707
22,7.245589733123779,7.702812194824219
23,7.2462053298950195,7.714044094085693
24,7.2429046630859375,7.698666095733643
25,7.24120569229126,7.7056145668029785
26,7.243350505828857,7.6992387771606445
27,7.243542671203613,7.7028985023498535
28,7.243304252624512,7.6989946365356445
29,7.240522384643555,7.704388618469238
