epoch,loss,val_loss
0,7.672816753387451,7.707177639007568
1,7.399308204650879,7.517306327819824
2,7.329164981842041,7.479497909545898
3,7.302938461303711,7.459691047668457
4,7.287903785705566,7.468784809112549
5,7.27858829498291,7.438760757446289
6,7.27006721496582,7.443946361541748
7,7.268085956573486,7.454590320587158
8,7.2671403884887695,7.453023433685303
9,7.265076637268066,7.4438371658325195
10,7.266815185546875,7.429483413696289
11,7.261509895324707,7.429848670959473
12,7.265228748321533,7.453085899353027
13,7.265457630157471,7.428095817565918
14,7.262608528137207,7.4294586181640625
15,7.26103401184082,7.437480926513672
16,7.261256217956543,7.429210186004639
17,7.258289813995361,7.4275360107421875
18,7.260084629058838,7.428616523742676
19,7.260418891906738,7.435743808746338
20,7.257763862609863,7.432238578796387
21,7.260879039764404,7.421896457672119
22,7.257565975189209,7.420984268188477
23,7.256371021270752,7.421993255615234
24,7.255513668060303,7.433135032653809
25,7.2550787925720215,7.426170825958252
26,7.256415367126465,7.426724433898926
27,7.25722599029541,7.4324493408203125
28,7.256685256958008,7.426942348480225
29,7.255641460418701,7.428268909454346
