epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9390912055969238,0.0010000000474974513,0.1342681646347046,0.950409471988678,0.10810205340385437
1,0.9506381750106812,0.0010000000474974513,0.10853253304958344,0.953700602054596,0.10261139273643494
2,0.9527522921562195,0.0010000000474974513,0.10359308868646622,0.955050528049469,0.09852822870016098
3,0.9534244537353516,0.0010000000474974513,0.10144516825675964,0.9540018439292908,0.10060331225395203
4,0.9540046453475952,0.0010000000474974513,0.10066601634025574,0.9544369578361511,0.09925122559070587
5,0.954612672328949,0.0010000000474974513,0.09964881837368011,0.9538791179656982,0.09845045953989029
6,0.9552513360977173,0.0005000000237487257,0.0974247008562088,0.9551509618759155,0.09637539833784103
7,0.9559068083763123,0.0005000000237487257,0.09705653786659241,0.9556975960731506,0.0957171767950058
8,0.9558844566345215,0.0005000000237487257,0.09710072726011276,0.9553294777870178,0.09580694139003754
9,0.9561801552772522,0.0005000000237487257,0.09625224024057388,0.955050528049469,0.096607506275177
10,0.9560155868530273,0.0005000000237487257,0.09637582302093506,0.9538567662239075,0.09660729020833969
11,0.9566821455955505,0.0002500000118743628,0.09509550034999847,0.9548050761222839,0.09639956802129745
12,0.9567825794219971,0.0002500000118743628,0.09488523006439209,0.956411600112915,0.09459685534238815
13,0.9568690657615662,0.0002500000118743628,0.0945272371172905,0.9539906978607178,0.097014881670475
14,0.9568439722061157,0.0002500000118743628,0.09441997855901718,0.9554521441459656,0.09481529891490936
15,0.9572065472602844,0.0002500000118743628,0.09410661458969116,0.9554298520088196,0.09432470053434372
16,0.957351565361023,0.0002500000118743628,0.09370208531618118,0.956110417842865,0.09542299062013626
17,0.9574101567268372,0.0002500000118743628,0.0935923308134079,0.9551398158073425,0.09496962279081345
18,0.9573599100112915,0.0002500000118743628,0.0934579148888588,0.9557868838310242,0.09462236613035202
19,0.9577643275260925,0.0001250000059371814,0.09305063635110855,0.9560546278953552,0.094371497631073
20,0.9578731060028076,0.0001250000059371814,0.09278832376003265,0.9562777280807495,0.09411924332380295
21,0.9577364325523376,0.0001250000059371814,0.09275718033313751,0.955307126045227,0.09448041021823883
22,0.9577587842941284,0.0001250000059371814,0.09270316362380981,0.9553517699241638,0.09517765790224075
23,0.9579874873161316,0.0001250000059371814,0.09273132681846619,0.9554744958877563,0.09499606490135193
24,0.9578480124473572,6.25000029685907e-05,0.0926414355635643,0.9552736878395081,0.09503739327192307
25,0.9577922224998474,6.25000029685907e-05,0.09244413673877716,0.9554075598716736,0.09470482915639877
